shape_id,latitude,longitude,shape_pt_sequence,shape_dist_traveled
3S:767#23744#23777,-41.29379439091791,174.7823272990593,0,0
3S:767#23744#23777,-41.2937775,174.7823312,1,1.9071103677046086
3S:767#23744#23777,-41.293765,174.782278,2,6.562147929829849
3S:767#23744#23777,-41.293717,174.782045,3,26.735291422764842
3S:767#23744#23777,-41.293684,174.781868,4,41.962642218443975
3S:767#23744#23777,-41.293594,174.78156,5,69.55675389531231
3S:767#23744#23777,-41.293515,174.781306,6,92.51081672533788
3S:767#23744#23777,-41.293494,174.781234,7,98.96002098784284
3S:767#23744#23777,-41.293423,174.781018,8,118.64620925349607
3S:767#23744#23777,-41.293157,174.780208,9,192.45828658695513
3S:767#23744#23777,-41.293099,174.7800393,10,207.9488188734879
3S:767#23744#23777,-41.29316472,174.7800168,11,215.49002102954648
3S:767#23744#23777,-41.293099,174.7800393,12,223.03122318560506
3S:767#23744#23777,-41.293089,174.78001,13,225.71825203152352
3S:767#23744#23777,-41.293067,174.779947,14,231.51927777948515
3S:767#23744#23777,-41.292847,174.779571,15,271.3119633161827
3S:767#23744#23777,-41.292545,174.779036,16,327.18707798738404
3S:767#23744#23777,-41.292435,174.778897,17,344.0435778874104
3S:767#23744#23777,-41.292311,174.778737,18,363.2367894472773
3S:767#23744#23777,-41.292003,174.778163,19,422.1334740622619
3S:767#23744#23777,-41.291686,174.777602,20,480.7460037441622
3S:767#23744#23777,-41.291499,174.777276,21,514.9933837779132
3S:767#23744#23777,-41.291385,174.7771197,22,533.182345434461
3S:767#23744#23777,-41.29140832,174.7771028,23,536.1343894134036
3S:767#23744#23777,-41.291385,174.7771197,24,539.0864333923462
3S:767#23744#23777,-41.2912855,174.7769834,25,554.9547690271191
3S:767#23744#23777,-41.291183,174.776843,26,571.3009797374361
3S:767#23744#23777,-41.290381,174.775764,27,698.0355173375367
3S:767#23744#23777,-41.2902993,174.775694,28,708.8341887723705
3S:767#23744#23777,-41.289983,174.775423,29,750.6397163934719
3S:767#23744#23777,-41.2894816,174.7749812,30,817.4674336451087
3S:767#23744#23777,-41.28955074999999,174.7749028,31,827.5624809414923
3S:767#23744#23777,-41.2894816,174.7749812,32,837.6575282378758
3S:767#23744#23777,-41.289167,174.774704,33,879.5879851531354
3S:767#23744#23777,-41.289031,174.774739,34,894.9823255595085
3S:767#23744#23777,-41.288586,174.774987,35,948.597450715811
3S:767#23744#23777,-41.288226,174.77519,36,992.0483587280416
3S:767#23744#23777,-41.287396,174.775722,37,1094.429292287144
3S:767#23744#23777,-41.2867894,174.7760983,38,1168.806475587686
